parsing_datetime,code,type,strike,T,bid,ask,BA,volume,mid,spread_pct,moneyness,expiration_date,is_quoted,abs_mny_distance,IV_mid
2026-02-25 23:02:18.889104,SR225CI8,CALL,225.0,2.565,0.0,0.0,317.07,0,0.0,,1.4092,2028-09-19,False,0.4092,
2026-02-25 23:02:19.148112,SR250CU8,PUT,250.0,2.565,0.0,0.0,317.07,0,0.0,,1.26828,2028-09-19,False,0.2682800000000001,
2026-02-25 23:02:19.407410,SR225CR9,PUT,225.0,3.313,0.0,0.0,317.1,0,0.0,,1.409333333333333,2029-06-20,False,0.4093333333333331,
2026-02-25 23:02:19.683723,SR245CI8,CALL,245.0,2.565,0.0,0.0,317.1,0,0.0,,1.2942857142857145,2028-09-19,False,0.2942857142857145,
2026-02-25 23:02:19.950430,SR170CX8,PUT,170.0,2.815,0.0,0.0,317.1,0,0.0,,1.865294117647059,2028-12-20,False,0.865294117647059,
2026-02-25 23:02:20.218906,SR170CO9,PUT,170.0,3.064,0.0,0.0,317.1,0,0.0,,1.865294117647059,2029-03-21,False,0.865294117647059,
2026-02-25 23:02:20.488671,SR300CO9,PUT,300.0,3.064,0.0,0.0,317.1,0,0.0,,1.0570000000000002,2029-03-21,False,0.05700000000000016,
2026-02-25 23:02:20.752220,SR300CC8,CALL,300.0,2.048,0.0,0.0,317.1,0,0.0,,1.0570000000000002,2028-03-14,False,0.05700000000000016,
2026-02-25 23:02:21.008076,SR270CP6,PUT,270.0,0.131,0.0,1.21,317.1,0,0.605,2.0,1.1744444444444446,2026-04-14,False,0.17444444444444462,0.29464387675056475
2026-02-25 23:02:21.270348,SR230CC9,CALL,230.0,3.064,0.0,0.0,317.1,0,0.0,,1.378695652173913,2029-03-21,False,0.3786956521739131,
2026-02-25 23:02:21.531260,SR230CR9,PUT,230.0,3.313,0.0,0.0,317.1,0,0.0,,1.378695652173913,2029-06-20,False,0.3786956521739131,
2026-02-25 23:02:21.794923,SR275CC8,CALL,275.0,2.048,0.0,0.0,317.1,0,0.0,,1.1530909090909092,2028-03-14,False,0.15309090909090917,
2026-02-25 23:02:22.064174,SR240CU6,PUT,240.0,0.553,0.0,0.0,317.1,0,0.0,,1.32125,2026-09-15,False,0.32125000000000004,
2026-02-25 23:02:22.323062,SR105CF9,CALL,105.0,3.313,0.0,0.0,317.1,0,0.0,,3.02,2029-06-20,False,2.02,
2026-02-25 23:02:22.582199,SR185CC8,CALL,185.0,2.048,0.0,0.0,317.1,0,0.0,,1.714054054054054,2028-03-14,False,0.7140540540540541,
2026-02-25 23:02:22.839955,SR105CX8,PUT,105.0,2.815,0.0,0.0,317.1,0,0.0,,3.02,2028-12-20,False,2.02,
2026-02-25 23:02:23.090256,SR345CC8,CALL,345.0,2.048,0.0,0.0,317.1,0,0.0,,0.9191304347826088,2028-03-14,False,0.08086956521739119,
2026-02-25 23:02:23.355947,SR165CC8,CALL,165.0,2.048,0.0,0.0,317.1,0,0.0,,1.921818181818182,2028-03-14,False,0.9218181818181821,
2026-02-25 23:02:23.620836,SR275CI8,CALL,275.0,2.565,0.0,0.0,317.1,0,0.0,,1.1530909090909092,2028-09-19,False,0.15309090909090917,
2026-02-25 23:02:23.879933,SR125CO0,PUT,125.0,4.06,0.0,0.0,317.1,0,0.0,,2.5368000000000004,2030-03-19,False,1.5368000000000004,
2026-02-25 23:02:24.155797,SR300CR9,PUT,300.0,3.313,0.0,0.0,317.1,0,0.0,,1.0570000000000002,2029-06-20,False,0.05700000000000016,
2026-02-25 23:02:24.415694,SR105CL9,CALL,105.0,3.811,0.0,0.0,317.1,0,0.0,,3.02,2029-12-18,False,2.02,
2026-02-25 23:02:24.671677,SR355CC9,CALL,355.0,3.064,0.0,0.0,317.1,0,0.0,,0.8932394366197184,2029-03-21,False,0.10676056338028161,
2026-02-25 23:02:24.936806,SR300CL7,CALL,300.0,1.799,0.0,0.0,317.1,0,0.0,,1.0570000000000002,2027-12-15,False,0.05700000000000016,
